epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0312,2.66152,4.07842,1.54468,0.0225,0.2017,0.06962,0.01644,2.20998,3.78878,1.33975,0.00025722,0.00025722,0.00025722
2,19.5978,2.23845,3.11737,1.22397,0.03491,0.33439,0.07112,0.01931,2.14565,3.41809,1.36415,0.000523496,0.000523496,0.000523496
3,24.1026,2.14201,2.40513,1.22774,0.05058,0.38106,0.08669,0.03135,2.33055,2.97056,1.29664,0.000784395,0.000784395,0.000784395
4,28.4009,2.15002,2.00143,1.22965,0.0507,0.67174,0.21,0.0783,2.19042,2.41912,1.38328,0.00103992,0.00103992,0.00103992
5,32.7014,2.03091,1.8121,1.20475,0.71757,0.3666,0.37732,0.14029,2.17966,1.68865,1.44367,0.00129007,0.00129007,0.00129007
6,37.2367,2.04265,1.7534,1.21206,0.23452,0.23031,0.12985,0.03556,2.92646,2.13135,1.70503,0.00135826,0.00135826,0.00135826
7,41.6835,2.00075,1.70382,1.21098,0.60491,0.33211,0.31403,0.10794,2.24918,1.60574,1.41327,0.00134412,0.00134412,0.00134412
8,46.0745,1.97165,1.67961,1.21546,0.24669,0.27859,0.189,0.04907,2.81172,1.99859,1.64827,0.00132997,0.00132997,0.00132997
9,50.3929,1.97028,1.65539,1.19545,0.43963,0.43486,0.41237,0.16762,2.0597,1.46982,1.3344,0.00131582,0.00131582,0.00131582
10,54.7819,1.97453,1.61817,1.20844,0.65283,0.35644,0.36385,0.12717,2.18741,1.71143,1.33955,0.00130168,0.00130168,0.00130168
11,59.3342,1.90906,1.5937,1.19319,0.50742,0.39952,0.40212,0.12914,2.42355,1.60771,1.42561,0.00128753,0.00128753,0.00128753
12,63.8784,1.95315,1.54658,1.20008,0.63814,0.35973,0.40566,0.14036,2.27992,1.76858,1.31678,0.00127338,0.00127338,0.00127338
13,68.288,1.90531,1.4868,1.17978,0.56056,0.57302,0.50775,0.16921,2.22533,1.4992,1.3394,0.00125923,0.00125923,0.00125923
14,72.6358,1.94222,1.53171,1.18567,0.46552,0.45869,0.40978,0.1477,2.19817,1.64748,1.32418,0.00124509,0.00124509,0.00124509
15,77.1316,1.86984,1.44859,1.17455,0.56345,0.51205,0.54059,0.23623,1.85384,1.27514,1.21588,0.00123094,0.00123094,0.00123094
16,81.4379,1.8914,1.43807,1.15865,0.64099,0.39587,0.32967,0.09349,2.39735,1.7146,1.43494,0.00121679,0.00121679,0.00121679
17,85.8254,1.92686,1.47977,1.17525,0.45586,0.50249,0.45252,0.16462,2.04868,1.403,1.30878,0.00120265,0.00120265,0.00120265
18,90.1253,1.89279,1.46529,1.17842,0.58905,0.49516,0.48538,0.22982,1.85259,1.31477,1.21093,0.0011885,0.0011885,0.0011885
19,94.3712,1.85457,1.45,1.15938,0.3477,0.39294,0.30401,0.09933,2.36697,1.60679,1.38075,0.00117435,0.00117435,0.00117435
20,98.7095,1.86497,1.40342,1.16025,0.3985,0.53065,0.42912,0.18361,1.89559,1.34186,1.23774,0.00116021,0.00116021,0.00116021
21,103.046,1.81213,1.38933,1.14148,0.47377,0.48343,0.43856,0.17871,1.9136,1.33472,1.23727,0.00114606,0.00114606,0.00114606
22,107.298,1.801,1.32452,1.13876,0.5995,0.5078,0.51732,0.239,1.8459,1.2259,1.22439,0.00113191,0.00113191,0.00113191
23,111.541,1.83467,1.33759,1.15724,0.6485,0.45688,0.50065,0.23089,1.88722,1.29997,1.24479,0.00111776,0.00111776,0.00111776
24,115.743,1.82048,1.36985,1.15335,0.64033,0.43991,0.48388,0.20854,1.97873,1.28133,1.24864,0.00110362,0.00110362,0.00110362
25,119.931,1.82241,1.30204,1.16191,0.60789,0.43846,0.43306,0.16729,2.13639,1.32125,1.32213,0.00108947,0.00108947,0.00108947
26,124.257,1.85512,1.31664,1.17109,0.50389,0.37429,0.31173,0.10311,2.54933,1.65635,1.55422,0.00107532,0.00107532,0.00107532
27,128.557,1.81653,1.28098,1.15062,0.57907,0.44547,0.49284,0.20342,2.01212,1.29952,1.30446,0.00106118,0.00106118,0.00106118
28,132.721,1.79857,1.25353,1.13588,0.53159,0.57994,0.50093,0.2101,1.9479,1.2744,1.22375,0.00104703,0.00104703,0.00104703
29,137.207,1.82667,1.26754,1.13747,0.42963,0.47914,0.42667,0.15583,2.14484,1.30637,1.40215,0.00103288,0.00103288,0.00103288
30,141.724,1.83008,1.26623,1.14796,0.64689,0.43404,0.44459,0.14284,2.39784,1.44902,1.41795,0.00101873,0.00101873,0.00101873
31,146.132,1.79068,1.25234,1.15014,0.55547,0.41365,0.46277,0.18795,2.04796,1.29671,1.28417,0.00100459,0.00100459,0.00100459
32,150.528,1.7624,1.20056,1.12768,0.56318,0.43727,0.39895,0.14133,2.2179,1.42628,1.38118,0.00099044,0.00099044,0.00099044
33,154.881,1.77698,1.21832,1.12461,0.54726,0.46315,0.43425,0.17248,2.07928,1.30685,1.30661,0.000976293,0.000976293,0.000976293
34,159.125,1.76614,1.19978,1.13561,0.56373,0.44734,0.48079,0.20293,1.93293,1.24071,1.25027,0.000962146,0.000962146,0.000962146
35,163.605,1.74154,1.14742,1.12629,0.46091,0.55022,0.49412,0.21541,1.97681,1.22342,1.25295,0.000947999,0.000947999,0.000947999
36,168.379,1.72939,1.13759,1.1176,0.59838,0.55502,0.53582,0.2234,1.92004,1.24814,1.22877,0.000933851,0.000933851,0.000933851
37,174.293,1.72753,1.15437,1.10715,0.46811,0.48283,0.43139,0.13293,2.40631,1.37589,1.45338,0.000919704,0.000919704,0.000919704
38,182.237,1.72316,1.15802,1.12389,0.52914,0.54066,0.49289,0.19631,2.10339,1.23817,1.31574,0.000905557,0.000905557,0.000905557
39,187.932,1.75261,1.14288,1.1091,0.4418,0.48618,0.4184,0.14752,2.27778,1.35275,1.423,0.00089141,0.00089141,0.00089141
40,193.922,1.71668,1.11721,1.1133,0.61614,0.48162,0.47614,0.15988,2.36087,1.35272,1.39309,0.000877263,0.000877263,0.000877263
41,199.718,1.77665,1.14641,1.10858,0.53054,0.50138,0.46377,0.15128,2.32442,1.31485,1.35143,0.000863116,0.000863116,0.000863116
42,205.101,1.68473,1.08527,1.09607,0.47894,0.44448,0.45258,0.16892,2.10165,1.26308,1.3225,0.000848969,0.000848969,0.000848969
43,210.551,1.71968,1.09774,1.11862,0.58511,0.3989,0.48086,0.20287,2.03418,1.19637,1.30664,0.000834822,0.000834822,0.000834822
44,215.864,1.69654,1.0902,1.10268,0.51401,0.51399,0.49401,0.20357,2.08555,1.18811,1.2871,0.000820675,0.000820675,0.000820675
45,222.53,1.70815,1.06116,1.10672,0.5881,0.46999,0.50545,0.22504,1.94219,1.16413,1.25186,0.000806528,0.000806528,0.000806528
46,229.919,1.65677,1.06473,1.09077,0.49075,0.48288,0.44676,0.17608,2.11577,1.24286,1.32012,0.00079238,0.00079238,0.00079238
